ВРЕМЯ,СУММА,КАТЕГОРИЯ
2017-08-05 20:19:00,-383.0,Еда
2017-08-06 13:26:00,-970.0,Еда
2017-08-06 14:41:00,-116.0,Еда
2017-08-06 14:41:00,-422.0,Еда
2017-08-06 20:26:00,-26600.0,Путешествия
2017-08-06 20:26:00,-26600.0,Путешествия
2017-08-07 10:33:00,-6500.0,Дом
2017-08-08 17:06:00,-570.0,Подарки
2017-08-09 09:21:00,2165.0,Доходы
2017-08-10 11:23:00,-2300.0,Еда
2017-08-10 15:23:00,-447.0,Еда
2017-08-10 15:23:00,-688.0,Еда
2017-08-10 17:53:00,-142.0,Одежда и обувь
2017-08-11 13:01:00,29217.0,Доходы
2017-08-11 15:01:00,-392.0,Еда
2017-08-11 18:22:00,-440.0,Развлечения
2017-08-11 18:42:00,-1200.0,Хобби
2017-08-11 23:47:00,12500.0,Доходы
2017-08-12 11:35:00,-9100.0,Спорт
2017-08-12 17:05:00,-1600.0,Спорт
2017-08-13 15:40:00,-883.0,Еда
2017-08-13 19:14:00,-3500.0,Одежда и обувь
2017-08-14 20:00:00,-846.0,Еда
2017-08-15 15:00:00,-4240.0,Одежда и обувь
2017-08-15 15:42:00,-6000.0,Одежда и обувь
2017-08-15 16:50:00,-6641.0,Одежда и обувь
2017-08-15 17:10:00,-568.0,Еда
2017-08-15 18:11:00,-1105.0,Еда
2017-08-17 13:29:00,-465.0,Еда
2017-08-17 17:19:00,-375.0,Еда
2017-08-17 17:19:00,-279.0,Еда
2017-08-18 13:29:00,3000.0,Доходы
2017-08-18 13:47:00,1485.0,Доходы
2017-08-18 17:19:00,304.0,Доходы
2017-08-18 19:00:00,-1186.0,Еда
2017-08-18 19:00:00,-160.0,Здоровье
2017-08-18 21:33:00,-489.0,Здоровье
2017-08-19 15:58:00,-293.0,Еда
2017-08-19 18:56:00,-1000.0,Путешествия
2017-08-19 20:10:00,-800.0,Путешествия
2017-08-19 20:37:00,-230.0,Еда
2017-08-19 20:37:00,-180.0,Еда
2017-08-20 02:25:00,-750.0,Еда
2017-08-20 04:29:00,-30.0,Путешествия
2017-08-20 04:29:00,-70.0,Путешествия
2017-08-20 04:29:00,-128.0,Путешествия
2017-08-20 04:29:00,-40.0,Путешествия
2017-08-20 20:00:00,-25000.0,Дом
2017-08-21 09:04:00,-6300.0,Путешествия
2017-08-21 09:04:00,-423.0,Еда
2017-08-24 18:17:00,1485.0,Доходы
2017-08-24 18:17:00,10000.0,Доходы
2017-08-25 14:51:00,723.0,Доходы
2017-08-25 14:51:00,395.0,Доходы
2017-08-26 11:25:00,-525.0,Путешествия
2017-08-26 12:21:00,-1000.0,Путешествия
2017-08-26 12:21:00,-1210.0,Еда
2017-08-26 12:21:00,-1100.0,Путешествия
2017-08-26 19:03:00,2222.0,Доходы
2017-08-26 22:39:00,-974.0,Еда
2017-08-27 17:40:00,33383.0,Доходы
2017-08-28 13:52:00,-175.0,Еда
2017-08-28 14:18:00,-197.0,Еда
2017-08-28 16:44:00,-839.0,Еда
2017-08-28 23:12:00,-2000.0,Интернет и телефон
2017-08-29 11:09:00,-7800.0,Дом
2017-08-29 20:01:00,-2000.0,Комплектующие
2017-08-29 20:01:00,-8040.0,Комплектующие
2017-08-31 21:40:00,-168.0,Еда
2017-09-01 15:52:00,-794.0,Еда
2017-09-01 23:10:00,-3777.0,Еда
2017-09-03 00:08:00,-550.0,Транспорт
2017-09-03 00:08:00,-1140.0,Подарки
2017-09-03 00:08:00,-430.0,Еда
2017-09-03 15:54:00,-566.0,Транспорт
2017-09-03 16:38:00,-590.0,Транспорт
2017-09-04 15:51:00,-260.0,Еда
2017-09-05 09:48:00,-20000.0,Компьютер и программы
2017-09-05 13:47:00,-1231.0,Еда
2017-09-05 13:47:00,-2550.0,Еда
2017-09-05 15:39:00,28173.0,Доходы
2017-09-05 16:26:00,-25000.0,Подарки
2017-09-06 17:34:00,-235.0,Компьютер и программы
2017-09-06 22:40:00,-544.0,Еда
2017-09-07 12:45:00,-2565.0,Компьютер и программы
2017-09-07 20:03:00,2489.0,Доходы
2017-09-08 01:14:00,-2262.0,Компьютер и программы
2017-09-08 10:18:00,-323.0,Компьютер и программы
2017-09-08 14:56:00,-250.0,Еда
2017-09-09 09:12:00,2165.0,Доходы
2017-09-09 10:18:00,-565.0,Дом
2017-09-09 14:26:00,-1007.0,Еда
2017-09-09 18:47:00,-600.0,Еда
2017-09-10 09:59:00,1443.0,Доходы
2017-09-10 10:43:00,-900.0,Дом
2017-09-10 17:13:00,-1150.0,Еда
2017-09-10 17:13:00,-150.0,Развлечения
2017-09-10 23:16:00,-408.0,Еда
2017-09-11 18:13:00,-1067.0,Компьютер и программы
2017-09-11 18:13:00,-195.0,Еда
2017-09-12 14:02:00,12500.0,Доходы
2017-09-12 20:38:00,-814.0,Еда
2017-09-12 20:38:00,-630.0,Спорт
2017-09-12 20:38:00,-529.0,Еда
2017-09-13 09:30:00,38.0,Доходы
2017-09-13 09:30:00,2478.0,Доходы
2017-09-13 09:30:00,2743.0,Доходы
2017-09-13 11:47:00,-1700.0,Транспорт
2017-09-13 13:07:00,-2055.0,Комплектующие
2017-09-14 09:22:00,-920.0,Еда
2017-09-14 11:47:00,-509.0,Еда
2017-09-15 14:11:00,-270.0,Еда
2017-09-16 11:18:00,-12651.0,Доходы
2017-09-16 22:38:00,-2075.0,Еда
2017-09-16 22:38:00,-630.0,Спорт
2017-09-17 18:48:00,-22660.0,Спорт
2017-09-17 22:00:00,-639.0,Еда
2017-09-18 00:47:00,500.0,Доходы
2017-09-19 19:17:00,-1719.0,Еда
2017-09-20 15:41:00,-19440.0,Компьютер и программы
2017-09-20 22:41:00,-630.0,Спорт
2017-09-21 15:51:00,3320.0,Доходы
2017-09-21 20:01:00,-375.0,Еда
2017-09-22 18:53:00,-728.0,Еда
2017-09-23 00:02:00,-294.0,Еда
2017-09-23 00:02:00,-390.0,Еда
2017-09-23 11:19:00,15000.0,Доходы
2017-09-24 18:58:00,-1253.0,Еда
2017-09-25 15:06:00,-1000.0,Подарки
2017-09-25 19:25:00,-1700.0,Спорт
2017-09-25 22:57:00,-1563.0,Красота и здоровье
2017-09-26 13:37:00,10000.0,Доходы
2017-09-26 14:48:00,-210.0,Еда
2017-09-27 00:54:00,-225.0,Красота и здоровье
2017-09-27 11:24:00,1573.0,Доходы
2017-09-27 15:06:00,-1800.0,Дом
2017-09-27 18:19:00,-1415.0,Еда
2017-09-28 21:36:00,-990.0,Дом
2017-09-29 14:21:00,-250.0,Еда
2017-09-29 20:09:00,-25000.0,Дом
2017-09-30 17:51:00,-3200.0,Одежда и обувь
2017-09-30 17:51:00,-1099.0,Одежда и обувь
2017-10-01 21:13:00,-1897.0,Еда
2017-10-02 13:22:00,-737.0,Еда
2017-10-02 15:24:00,-300.0,Еда
2017-10-02 20:02:00,-400.0,Подарки
2017-10-05 13:51:00,28173.0,Доходы
2017-10-05 15:43:00,-760.0,Транспорт
2017-10-05 15:43:00,-285.0,Еда
2017-10-06 15:43:00,2198.0,Доходы
2017-10-06 23:35:00,-1085.0,Еда
2017-10-06 23:35:00,-589.0,Еда
2017-10-06 23:35:00,-1700.0,Транспорт
2017-10-07 16:54:00,-350.0,Еда
2017-10-07 16:54:00,-130.0,Еда
2017-10-07 18:33:00,-118.0,Комплектующие
2017-10-07 18:53:00,-3092.0,Комплектующие
2017-10-07 19:05:00,-720.0,Дом
2017-10-07 19:05:00,-1024.0,Еда
2017-10-08 18:33:00,-117.0,Комплектующие
2017-10-08 19:24:00,-684.0,Еда
2017-10-09 20:09:00,-1500.0,Обучение
2017-10-09 23:03:00,-170.0,Компьютер и программы
2017-10-10 23:39:00,-1317.0,Еда
2017-10-11 14:56:00,72000.0,Доходы
2017-10-11 14:56:00,13000.0,Доходы
2017-10-11 15:13:00,-390.0,Еда
2017-10-11 22:11:00,-1142.0,Еда
2017-10-12 15:13:00,-284.0,Еда
2017-10-12 16:14:00,-3550.0,Украшения
2017-10-12 17:53:00,-353.0,Комплектующие
2017-10-13 09:32:00,-300.0,Еда
2017-10-13 12:17:00,12500.0,Доходы
2017-10-14 13:35:00,-550.0,Красота и здоровье
2017-10-14 21:32:00,-431.0,Еда
2017-10-15 10:05:00,-2700.0,Спорт
2017-10-15 13:35:00,-2518.0,Еда
2017-10-16 15:53:00,-981.0,Еда
2017-10-18 11:25:00,1755.0,Доходы
2017-10-18 11:25:00,906.0,Доходы
2017-10-18 20:36:00,-722.0,Здоровье
2017-10-20 13:00:00,-185.0,Еда
2017-10-20 16:09:00,-80.0,Еда
